house_name,z_estimate,estimated_range_min,estimated_range_max,user_id,city_id,neighborhood_id,prices
'3310 Doyle Spur',621893,605821,637965,26,15,3,'729464 729679 733065 739555 740184 743516 746809 753503 753832 761071 761338 767392 770934 772141 775515 781497 782308 786221 792681 795508 796568 803170 803612 809423 812889 816838 820046 823498 824229 827368 833807 834974 837972 842094 848376 848547 855278 855647 862599 865685 866652 873157 873480 879717 882920 883504 890618 894246 894657 901073 901010 904510 911667 911637 915005 918622 924920 928536 929520 932371 939360 942582 945789 949433 949952 953541 957581 963957 964527 968064 974627 977479 980870 981877 984849 988741 995085 998681 1002095 1005813 1006369 1012876 1013180 1019723 1020242 1026364 1030365 1031147 1037743 1037346 1044205 1044917 1051384 1051868 1054799 1058652 1062328 1068935 1069250 1075851 1076626 1082314 1083234 1089757 1090020 1093362 1099975 1100368 1107497 1107352 1114523 1117780 1121395 1122068 1125628 1132092 1132464 1135593 1142215 1143217 '
'178 Christopher Prairie',938411,923606,953216,44,19,29,'956966 957445 963574 967990 971066 971906 978273 978253 981992 988525 989433 995720 998753 1002622 1003197 1009906 1013478 1016559 1019554 1023038 1024179 1027952 1030634 1034095 1040676 1044265 1045202 1051521 1051565 1055596 1059019 1065501 1068800 1069059 1073352 1076029 1082936 1086755 1089555 1090319 1096561 1100498 1100890 1107467 1111092 1111687 1114870 1118688 1121770 1128988 1132010 1135856 1136116 1142794 1143498 1149439 1153254 1156793 1160001 1163069 1167176 1167543 1171188 1177043 1180806 1181393 1188443 1191142 1194777 1198049 1199437 1205165 1208743 1212131 1212892 1219717 1222878 1226312 1226931 1230913 1237085 1240655 1243983 1247135 1250841 1251536 1258129 1261429 1262013 1268859 1272410 1272748 1279355 1282630 1285871 1289587 1292909 1296651 1300438 1300032 1306731 1307474 1311485 1314551 1320786 1324112 1327956 1331216 1334855 1338360 1341961 1342550 1346195 1352903 1356335 1356249 1359753 1366216 1369839 1373181 '
'926 Bashirian Tunnel',516142,502512,529772,82,8,13,'733263 736985 740492 740594 747424 747492 754695 757543 761335 764490 767993 771343 772221 776128 782570 785819 788807 789339 792927 799632 799841 806778 810581 810651 813784 820870 824015 827860 831452 835184 835542 838951 842557 846133 852459 853173 855741 859505 865880 866470 872755 873660 879917 880777 884255 887626 893920 897684 897781 901708 907974 911865 914896 915295 922000 925823 929433 932792 936493 939745 940002 946856 946768 953456 957198 957247 961530 965043 968070 971580 978720 981339 985322 985238 989076 992405 999485 999274 1006130 1009457 1013654 1013926 1019750 1021119 1023941 1027404 1031334 1037335 1040890 1041596 1048439 1052076 1055331 1058685 1061838 1063212 1066408 1070211 1073446 1076991 1080681 1083512 1089814 1090446 1097719 1097887 1100878 1104451 1111604 1111889 1115613 1118293 1125101 1125979 1132274 1135335 1136464 1142441 1146048 1146972 '
'71450 Monahan Locks',754555,739562,769548,24,6,31,'842646 849075 852089 852660 859686 862416 866620 866444 870215 874044 880420 881076 886717 890652 894649 894713 898557 901438 907855 908909 912392 915603 921763 922904 928974 932244 936033 936238 940290 943848 950563 954068 953785 957839 964571 967269 968278 971447 978607 978687 981947 985575 992441 995850 995793 1002269 1003601 1006479 1013611 1013208 1020343 1020323 1024187 1027565 1030923 1037950 1038516 1042190 1045555 1048416 1054795 1058966 1058788 1065530 1066515 1072882 1076036 1076637 1080181 1086225 1087254 1090911 1093935 1100592 1101068 1104772 1110979 1114758 1118508 1121741 1121901 1125560 1132031 1136032 1135914 1139656 1142981 1149534 1153286 1156221 1160556 1163729 1167282 1171159 1171576 1177285 1178429 1184686 1184724 1191938 1194883 1198398 1199495 1205823 1205749 1212498 1216381 1216774 1222714 1223775 1230307 1233706 1236744 1237969 1244035 1245049 1251602 1252024 1258307 1258621 '
'35469 Adah Loaf',742312,729901,754723,6,16,32,'815493 819335 825766 826851 829968 833912 836568 842982 847332 847790 851264 857019 858163 864853 864735 871188 875137 878530 878954 885694 886270 892083 896212 896868 902676 906286 909764 913310 917022 917911 920776 924837 930448 934312 938160 941734 941920 945705 951878 955174 958979 959748 962531 966745 973364 976074 979820 983297 983441 987889 994371 996988 1000600 1001683 1008342 1008762 1014570 1015296 1018880 1025529 1028573 1029770 1032715 1036055 1042606 1043797 1047144 1050177 1054333 1057265 1064107 1067428 1070490 1074788 1077601 1081350 1085153 1085205 1088846 1092663 1099285 1099692 1105452 1109017 1110203 1113540 1116804 1120071 1123888 1127506 1131151 1137494 1141352 1141617 1147787 1151250 1155174 1155342 1162065 1165435 1169243 1172331 1175593 1179230 1182771 1186044 1186592 1193755 1196583 1197516 1200753 1207198 1210803 1211044 1215327 1221716 1222312 1225141 1229283 1232132 '
'58720 Price Brooks',564855,549345,580365,93,6,44,'752633 755854 756301 759990 762803 770029 770253 773828 779912 780630 784644 790268 790924 797751 801591 802242 805434 808936 812176 818948 819730 822741 826508 833002 836573 836977 842978 843437 850092 853508 856961 857463 860823 867630 868451 872097 878529 878817 882048 885612 888937 892577 896249 902529 905863 906768 910398 913546 920427 923621 923975 927487 931344 935247 938704 944741 944958 949135 952740 958594 962706 962784 965804 970143 976287 976573 980368 986566 987461 994164 997413 997524 1001735 1007856 1007886 1014284 1018124 1021924 1022697 1028791 1029085 1036060 1039669 1040003 1045912 1049635 1050457 1054185 1057345 1063666 1067235 1070583 1074735 1077673 1081475 1084596 1084884 1088715 1095262 1098431 1102208 1103213 1105958 1109544 1115912 1116842 1120005 1127212 1129773 1133832 1134757 1140832 1141753 1147527 1147835 1151649 1158267 1161967 1162398 1165469 '
'521 Kreiger Well',568713,552809,584617,55,15,2,'707606 710464 711311 717705 717920 724680 728134 728693 734829 738515 742296 742780 749633 752345 753025 756382 763599 767017 767070 773361 774064 777474 781119 787561 787676 791613 797746 799019 804729 809121 808957 813099 818654 820042 823336 829362 833635 833707 840047 844051 844141 850684 851116 854695 857784 861203 865614 868471 872033 875505 878719 883104 886396 889290 896554 899789 902852 906929 909729 913688 916650 917924 920787 928039 928392 931807 937803 938804 944914 948373 951870 952490 955733 959789 963577 969794 970239 976261 977512 980445 984444 987504 994017 994879 1000844 1001981 1004823 1011564 1012208 1015965 1018832 1025984 1025753 1030004 1033106 1037031 1043118 1046479 1047052 1053459 1054107 1057407 1061190 1067795 1071568 1074379 1075434 1081519 1082398 1086051 1091942 1096087 1095873 1099671 1105960 1110039 1112825 1116676 1120376 1123396 '
'3154 Collier Center',955417,935751,975083,20,7,44,'624764 628520 629345 634856 638911 642284 645434 649702 653337 655879 656671 663162 664216 666982 670520 674451 680989 681502 685012 687911 694824 697926 701674 705481 705569 709849 716238 716085 720016 723553 729704 733001 733942 740669 740465 744845 751079 754679 754445 761680 762072 768152 769144 775463 776163 782167 783309 786173 789367 796421 799887 803697 803866 807016 813534 817420 821235 821651 827859 828207 831395 835361 838384 844889 848504 849534 855800 859210 862725 865915 870289 870763 873686 877329 880813 887023 888260 890955 894502 901202 901547 907935 908900 915350 916016 919789 926348 929602 929412 936001 939490 940762 946953 950013 953971 954134 958043 964228 964412 971018 974621 975256 981864 981901 985738 989434 995481 996668 1002434 1003504 1006835 1010432 1014026 1017543 1020799 1024106 1028327 1031678 1034654 1041162 '
'56517 Emmerich Inlet',769320,750986,787654,37,3,15,'829958 833446 837018 840456 843768 847543 853509 856936 860354 864025 867901 871102 871931 874778 882075 885089 885467 892165 896046 896011 899545 906682 909915 910192 913737 917167 924001 927550 927339 930814 937521 940962 945209 948176 951333 955029 958790 958981 962331 966339 970007 973449 979622 983382 984155 989837 993968 997249 997757 1003812 1007989 1008084 1014316 1018471 1018524 1022358 1028856 1028939 1035450 1039395 1039837 1043611 1046871 1049816 1057147 1057618 1060342 1066933 1071174 1074126 1078051 1077893 1085068 1085460 1088987 1095667 1099184 1099659 1105809 1109257 1109508 1113004 1116543 1122773 1126910 1127627 1130714 1133926 1140741 1144491 1144559 1148070 1155208 1155679 1161316 1162059 1165383 1169441 1172324 1175800 1179388 1183577 1187159 1190599 1193310 1200330 1203805 1207027 1210253 1214276 1217238 1217721 1224242 1228590 1231747 1235527 1235840 1242115 1246057 1246335 '
'0977 Grady Motorway',885433,867573,903293,19,4,20,'675848 679630 682350 682758 689812 690090 696764 696913 703616 703806 707757 714708 714740 721528 721479 727864 732182 732412 738315 739656 745652 749278 752396 753255 759989 759846 763599 767225 770850 774058 780899 780826 787599 788569 791828 795140 799039 805252 805874 809674 816072 816090 819806 826107 826965 830158 833700 837024 840822 844019 851065 854186 854794 857820 865032 864893 871348 875652 879167 879075 882511 886192 892829 893550 899789 903614 903405 907050 913293 914048 917593 921360 927567 931149 934560 935494 941852 942129 949131 949599 952328 955765 959818 962890 969902 969942 973492 979780 983738 984695 987601 994052 994676 1001146 1002023 1005721 1011385 1012122 1018445 1022142 1022909 1025781 1032545 1033409 1039429 1040078 1046291 1050262 1050956 1053966 1060283 1060817 1067362 1067945 1074951 1075547 1081476 1085483 1085534 1092243 '
'215 Stanton Islands',974470,960751,988189,74,1,14,'920832 924412 930216 933801 937087 938333 941394 945174 951650 952462 958085 961867 965619 969462 972477 976477 979475 983126 986970 990193 993382 993816 1000478 1004089 1004962 1007838 1014641 1014576 1021153 1024721 1028884 1029109 1035980 1038682 1042323 1042607 1049917 1049885 1053316 1060274 1060419 1063649 1070736 1071115 1074080 1081267 1084615 1088502 1091603 1095119 1098719 1102394 1105647 1108928 1112129 1113462 1116415 1123131 1123315 1129712 1130635 1136983 1137726 1141324 1147452 1147655 1151973 1155325 1161736 1164757 1165142 1168880 1172740 1178777 1179610 1186445 1189488 1189598 1193942 1196708 1203388 1206689 1210349 1211007 1217722 1221327 1224797 1225043 1228061 1235292 1238716 1239163 1242254 1245529 1249436 1253062 1256286 1263236 1266350 1266782 1270173 1273970 1277992 1284435 1287218 1290526 1291851 1295142 1301504 1301678 1308817 1309079 1315941 1316415 1322601 1325867 1329910 1332706 1333909 1336644 '
'926 Alejandrin Junction',763529,752438,774620,33,13,36,'730670 730927 734415 741236 741058 744791 751638 751549 755550 761792 762304 766355 769212 776310 776587 780001 783903 786790 793887 796621 800392 803774 807341 808169 811682 815205 818187 825334 825981 831995 835678 838735 839886 845774 849427 850046 856250 859558 863895 867170 870428 873524 877888 878455 884683 884676 891114 895370 895026 901644 902732 908635 912910 912856 919652 923107 926368 929510 930961 933866 937081 940594 947479 948205 954957 955357 961751 962145 965947 969472 975599 978749 982793 982634 989358 993348 993304 1000000 1003200 1003577 1010380 1014360 1014388 1021426 1024585 1027487 1028635 1031584 1038259 1039151 1042252 1049020 1052883 1055810 1056034 1059610 1063880 1067361 1073547 1074298 1077819 1083583 1084855 1088289 1091781 1095393 1098694 1105267 1105460 1108608 1112722 1118954 1122065 1125750 1129876 1130451 1133290 1140236 1140466 1143548 '
'6897 Nolan Trace',945503,927623,963383,95,6,6,'519346 526117 529011 530170 535863 536864 540636 543364 550019 550529 557605 557780 564032 564357 568582 571336 578358 581462 582608 588334 591853 596134 595942 603241 603698 607239 612819 616847 620024 621176 627390 631118 634041 638027 637853 641949 645248 651815 651831 655863 659385 662876 665921 672703 673778 680160 682897 684015 687792 693395 693905 697858 704136 708139 708734 715240 718794 719262 722634 728802 732776 732412 739772 743108 745856 750036 753583 757204 759953 760827 767403 770548 773909 775255 781035 782181 785051 788831 792252 795548 799329 802528 809019 809783 816530 817003 823030 823702 826899 830998 834325 837319 840925 847495 847889 851588 855589 861591 865729 865343 868908 872399 875976 879688 886053 889948 893679 896926 900271 901011 904339 910618 911621 917890 921600 924606 928509 931999 935125 935359 '
'5366 Brycen Summit',843755,824063,863447,47,16,28,'858498 861959 869270 869497 872736 879700 879696 883807 886629 893053 896701 900612 904251 904097 907677 911528 917824 918416 925053 928683 928367 932349 935836 939783 945511 949040 952804 953130 957241 963414 963800 970358 973763 974457 980587 981785 985017 990887 995351 995102 1002105 1002714 1009324 1011863 1016310 1019631 1020089 1026504 1029864 1033329 1034160 1040060 1043955 1043907 1050798 1054021 1057886 1061826 1062149 1068010 1069314 1075679 1079229 1079512 1085793 1089743 1090274 1093429 1099903 1102921 1107109 1110854 1110590 1114289 1117870 1121780 1124706 1128126 1135126 1135351 1138559 1145711 1145651 1152017 1152892 1159568 1160108 1166201 1170222 1170308 1174068 1177823 1181281 1184545 1187508 1193976 1197575 1201744 1204738 1208149 1209056 1215254 1216231 1219666 1222773 1226667 1230255 1236501 1240318 1240551 1243462 1247626 1253804 1254785 1261108 1261467 1265152 1268438 1271736 1278337 '
'14745 Harber Haven',927514,911388,943640,90,3,4,'554157 561018 564253 564418 570683 571864 578529 579116 585334 589024 589113 592766 595852 599822 603153 609879 610284 616854 620240 623583 627414 627918 633995 634225 637926 644851 648492 651580 652000 656057 661681 662303 668825 669444 675939 679306 679996 684012 687200 693224 697134 697407 704073 707777 708467 714935 718345 718576 721864 728421 728731 732868 739276 742217 745655 746798 753018 753492 757117 760597 767239 770876 774376 777257 777722 781870 787865 791539 792049 795425 798829 802177 805700 812827 812650 816762 820264 823878 829743 833574 834198 840824 841124 848112 848028 855060 854957 859131 865474 865270 869025 873112 878773 882545 882685 889770 890155 896243 899885 901003 904197 908129 910852 917308 918369 924361 924930 931694 935371 938759 942161 945404 949169 949302 955993 957042 959886 966167 966759 973577 '
'90643 Helene Parks',688815,676532,701098,58,10,35,'831271 831602 835522 841273 845544 846025 849506 855317 858853 859789 865955 869281 872902 877153 880444 883660 884600 890728 894273 894904 901330 901366 908139 912148 912407 918350 922156 925250 926199 933076 932696 937098 943530 943621 949737 950385 954477 961006 961597 967568 968495 971891 977742 979156 982503 988385 991951 995718 999601 1002505 1006427 1006933 1012864 1013272 1019833 1020780 1026938 1031038 1034176 1037467 1041110 1044531 1045591 1052148 1054724 1055470 1062473 1065216 1065913 1069669 1075995 1076261 1083552 1083875 1087104 1093536 1096996 1098063 1104040 1104925 1111256 1111245 1114873 1118798 1121876 1128277 1131901 1132369 1139262 1142832 1142989 1149786 1153165 1153389 1160367 1160282 1167445 1170427 1174230 1174999 1177876 1181681 1188269 1188466 1194859 1195193 1198765 1202341 1209290 1209551 1213534 1216407 1223538 1226446 1226848 1234048 1234049 1237854 1241225 1247804 '
'997 Ian Green',864648,849748,879548,47,10,36,'769207 776316 779725 780305 783088 786782 793957 797210 797164 803484 806989 810893 814037 814949 821026 821879 825811 828507 832162 835681 842325 845800 846544 850288 853540 859665 863478 866617 870444 873641 874802 878308 881178 884972 888628 894604 895103 901946 905476 905550 912140 913393 919741 919845 923120 926655 930671 937101 940772 943996 944807 951204 951703 954663 961780 962282 968176 968956 972714 978485 982079 983361 989482 990090 993661 1000024 1003498 1004463 1010188 1013485 1017220 1020468 1021075 1025036 1031823 1034898 1035789 1041800 1045135 1045753 1052228 1055576 1056706 1060161 1066211 1067386 1073481 1076597 1077872 1080782 1087147 1090960 1091934 1094614 1098833 1104837 1108205 1109314 1112596 1115882 1122408 1126014 1126737 1130121 1136591 1140203 1143291 1143481 1150458 1153923 1157190 1161438 1161825 1167829 1168564 1174699 1178063 1181656 1185366 1188578 '
'3642 Conrad Oval',747764,736338,759190,42,14,38,'931273 937860 941555 942433 948939 948997 952562 959137 962366 965714 969699 973123 974025 977050 980281 984460 990149 994195 997237 998042 1001113 1007698 1008417 1012425 1016054 1022167 1025096 1026123 1029942 1033033 1039651 1043064 1043348 1047049 1054074 1056690 1057529 1064211 1067912 1070905 1071256 1074653 1081199 1081985 1088655 1089080 1092152 1095900 1102425 1105798 1109164 1109674 1114044 1120574 1124080 1124190 1127899 1133876 1134943 1137664 1141759 1147824 1148597 1154931 1158435 1158948 1165748 1169167 1172212 1175854 1177056 1180030 1186939 1190328 1190446 1193714 1197823 1204228 1207304 1208249 1214215 1218386 1218512 1224717 1225582 1229394 1232370 1236208 1242818 1243584 1246564 1250026 1256849 1260021 1263479 1267407 1267992 1273832 1277329 1281403 1284685 1285492 1288314 1291899 1298310 1301921 1302512 1308940 1313017 1313044 1316311 1319608 1323779 1329645 1330448 1334263 1337530 1341322 1344919 1347749 '
'331 Roel Springs',500594,484450,516738,99,3,28,'619849 623405 629624 633168 636057 640403 643176 644412 650360 650756 656995 658194 664735 668342 671834 675393 675381 679050 682259 689332 692515 693110 699400 702681 706359 706577 709952 716520 720024 720495 727771 730444 731868 734931 741257 744794 747971 752010 755431 756198 759306 766247 769137 772654 772977 776972 783635 783925 790551 793462 797695 800749 804832 804447 811134 811941 818755 819220 822621 825617 829657 836113 836250 839540 846083 847275 853616 857254 857675 864131 864418 871161 874546 874858 881352 882205 887985 891466 892511 898566 902099 905955 905959 910276 913748 916751 920319 926994 927310 934381 937605 940753 941648 944618 951277 954867 958645 961736 962139 965579 972836 975785 979022 979692 982988 986927 990011 996665 997685 1000831 1004213 1007717 1014624 1018109 1021594 1021759 1028543 1031813 1035285 1036384 '
'89776 Moen Estates',584796,565057,604535,28,4,8,'975666 982503 985376 986718 989398 992966 1000113 1000777 1006745 1007682 1014269 1014148 1020874 1024391 1027835 1031318 1032062 1038672 1041608 1042528 1048664 1049383 1055652 1059256 1059344 1063602 1069787 1069937 1073323 1076952 1083654 1084157 1090488 1094076 1094777 1101208 1101672 1108168 1108889 1114936 1116047 1119587 1122301 1126452 1129878 1135959 1139707 1140228 1146581 1147749 1150695 1157093 1157894 1161756 1167443 1168508 1174685 1174848 1182059 1184793 1185656 1188939 1195482 1199334 1202747 1203525 1206850 1209952 1214067 1217705 1223787 1224307 1227929 1231709 1234768 1238540 1244369 1248176 1251944 1255576 1258663 1262448 1263035 1269045 1272848 1276073 1279579 1279834 1283330 1286835 1290329 1297234 1300413 1303781 1307924 1310868 1311773 1318556 1321846 1324987 1328653 1329136 1332913 1336587 1339473 1345847 1349648 1353744 1354249 1360659 1360871 1367101 1370424 1374069 1374460 1378020 1381709 1388117 1388617 1395357 '
'32716 Meta Ridges',978839,959061,998617,85,6,9,'599717 603002 603799 610713 613476 614542 620359 621009 624552 631248 634757 635587 641354 645204 645988 652663 655368 656648 659267 666286 666923 670168 677062 677231 681032 684687 688230 691574 698022 698245 701826 708171 708800 715260 719092 719512 722404 728828 729420 733680 739343 742978 746269 747720 753647 754484 757468 761062 765203 768328 771374 775381 781598 782615 788598 792568 792933 799090 803202 803455 809291 813190 813471 820029 820916 827458 830356 834413 835043 841355 842002 845709 848826 855085 858652 862201 865457 865848 872454 872799 876577 880200 883994 887107 894132 897181 897702 901118 907639 908034 911953 918746 918941 924971 925558 929549 935452 939550 939723 943368 946549 950581 953732 957152 963709 964265 967521 973831 977905 980765 984258 988256 992207 992529 995697 998814 1005359 1009714 1009380 1013279 '
'8459 Hudson Mountains',823644,808078,839210,88,12,13,'906149 906894 910542 914497 918032 924255 927753 927909 934187 937998 941944 945005 949018 949524 952533 955732 959705 965870 966125 970370 973635 977462 980760 986998 990944 990976 994369 1001559 1004714 1007934 1008189 1015409 1018675 1018640 1025475 1026444 1032461 1032979 1039423 1042804 1046896 1050226 1053112 1056666 1057596 1061025 1068027 1071118 1071454 1078310 1081369 1085381 1088362 1092091 1092931 1095953 1099470 1102975 1109457 1112666 1113920 1117346 1120394 1126983 1130811 1134108 1134390 1138159 1144801 1148345 1151471 1154705 1155263 1159503 1165725 1166369 1172914 1176155 1179636 1180492 1183733 1190536 1190914 1194322 1201007 1201290 1207150 1211358 1214660 1218491 1221558 1224862 1228509 1228853 1232203 1238817 1239925 1243370 1246144 1249769 1256098 1259684 1263860 1267102 1267741 1274379 1274728 1280806 1281697 1285083 1288656 1295175 1295609 1302519 1302801 1306351 1309491 1315994 1316830 1319636 '
'33715 Lang Hills',942696,928809,956583,94,4,6,'752483 758359 761760 765818 769237 769426 776455 776764 782819 783327 786642 793798 796679 800706 803813 804123 810869 814411 817858 818435 822410 825343 828623 835917 839460 842711 842626 846246 853337 853179 857260 863318 864015 870554 874286 877713 881141 884637 884956 891521 895299 899102 901928 903033 906483 912468 913160 919399 922859 926856 927339 930492 936993 940751 940671 945101 951445 954168 958323 961465 962489 968283 969047 972907 976579 982781 986150 986446 992893 993704 997233 1003826 1004602 1010905 1010827 1017802 1017929 1024753 1025556 1031417 1031649 1035164 1039159 1042640 1046379 1052289 1056145 1056790 1060334 1063565 1067153 1073403 1074224 1077799 1084336 1087856 1087758 1094242 1095200 1101466 1105290 1108381 1112563 1115470 1115630 1122368 1122757 1129710 1133248 1133346 1137169 1140465 1146952 1148113 1154276 1155028 1161517 1161488 1164914 1168484 '
'6194 Bianka Mountains',503770,487051,520489,41,13,2,'692167 695310 699265 699660 706149 709977 710264 716462 719907 723495 724197 727451 731693 737752 741701 744742 744936 748684 754982 759025 761801 765762 769231 769259 773440 776495 783153 784016 790670 793285 797431 800524 804649 804501 808450 811718 818159 819031 822258 828741 829679 833108 836191 839542 843639 846301 850512 853988 859773 863387 867067 871186 870787 877960 881014 882208 887928 892106 895130 898306 899078 906097 906598 913097 915911 919890 923708 927080 930099 933719 934543 940254 941505 944474 948696 954486 958744 959025 962410 965464 972036 973172 979308 982865 986576 989827 990227 996417 997715 1003556 1004206 1007529 1013975 1015251 1021410 1024439 1025287 1031497 1032079 1038720 1041902 1042371 1046400 1050054 1053600 1060204 1060065 1066615 1070684 1073972 1076968 1081115 1084358 1084928 1091392 1092248 1094979 1101461 1102751 1108800 '
'55704 Flavie Freeway',648064,634423,661705,9,5,45,'649332 652458 653599 656413 660351 663702 667108 673326 677583 677997 681086 684385 688125 691329 697785 701696 702330 708609 711851 712839 719230 723057 722950 726405 730555 734001 736884 743970 744146 747996 754083 758183 758304 764797 768211 772072 772648 778450 779713 785992 786195 790020 792794 800199 803449 806535 806763 810901 816776 817883 824032 827504 831663 832052 837995 842136 844793 849099 851848 852791 856354 862951 863453 869370 873658 873566 876741 883384 887591 890709 893800 894659 898374 901561 908440 908960 914982 918815 919615 923034 926713 929346 933703 939339 942755 946258 947078 953627 954378 957328 961383 964453 968319 972183 978494 982135 985214 988995 992432 996200 995766 1002369 1006245 1009640 1013009 1016385 1017104 1021169 1027151 1030282 1033979 1034954 1041185 1041798 1045302 1052172 1055163 1058257 1062418 1065563 '
'2559 Stamm Wells',996475,982943,1010007,14,6,21,'990533 994830 997746 1000940 1001880 1004919 1009376 1011968 1018434 1022377 1022739 1029640 1030055 1036585 1037046 1043353 1044332 1050248 1053893 1054904 1057474 1061858 1065416 1068395 1075258 1078335 1079273 1081955 1088483 1089243 1096327 1099507 1103162 1103033 1110000 1110889 1113541 1120280 1121116 1124296 1128161 1131233 1135076 1141385 1141687 1145676 1151488 1151946 1159043 1159700 1165690 1169138 1172493 1176847 1179697 1180806 1184138 1190377 1193859 1194681 1201177 1204758 1205028 1211850 1214808 1215789 1219064 1225787 1228641 1229705 1232606 1236189 1240227 1246141 1250239 1253536 1256671 1257155 1264376 1264814 1270923 1274405 1275283 1278789 1285109 1285830 1289276 1295416 1299278 1299420 1302544 1306349 1310391 1313009 1320286 1320801 1324330 1327457 1333635 1337852 1341330 1344439 1348362 1348708 1355251 1358106 1361568 1362330 1365703 1369119 1372664 1379403 1383315 1386362 1387185 1390432 1394287 1400215 1400976 1404570 '
'01786 Terrill River',710746,694645,726847,83,10,33,'945162 945492 948767 955362 958568 959510 963088 966094 973155 973205 977061 980735 984041 986931 990639 994020 997656 1001768 1008210 1008437 1015247 1014894 1021832 1025535 1025319 1032147 1036149 1038829 1042879 1043267 1049901 1053246 1053424 1060173 1061039 1066963 1071273 1071300 1074616 1077804 1084469 1087918 1091856 1091906 1095624 1102615 1105417 1106657 1109711 1116579 1117236 1123727 1123301 1126988 1130316 1134214 1141171 1144646 1144381 1150880 1152085 1157848 1162262 1165574 1168831 1172307 1173238 1176109 1183163 1183687 1190213 1190742 1193719 1200479 1200485 1207217 1207470 1211528 1218141 1220865 1224851 1225547 1229045 1232206 1239176 1241973 1242971 1249572 1249583 1256175 1259529 1260288 1267242 1267251 1273348 1274006 1277384 1281767 1285133 1291381 1292222 1298705 1301773 1305610 1308667 1309337 1315541 1316287 1319618 1326366 1327089 1332822 1333429 1337369 1340414 1347218 1350743 1353791 1354327 1361607 '
'621 Wintheiser Burgs',962751,948876,976626,63,9,14,'967192 967353 970772 977772 980671 980924 987813 988244 991682 998229 999066 1005343 1005484 1011998 1012866 1016229 1022984 1026290 1027294 1030472 1036777 1037153 1043459 1044031 1050502 1053940 1057874 1058270 1064330 1068234 1072103 1072039 1075659 1079513 1085935 1089388 1092839 1096282 1099429 1100145 1103609 1110129 1114262 1116883 1120389 1124381 1124763 1128707 1135042 1135335 1138308 1142169 1149150 1149002 1153174 1159781 1162909 1162813 1169970 1173366 1173500 1180326 1183842 1184097 1187563 1190966 1195239 1201633 1205297 1208661 1208720 1212355 1215569 1222148 1226228 1229402 1229717 1233039 1236617 1239924 1246663 1250052 1250761 1254790 1257806 1261369 1268034 1271653 1274766 1278273 1282212 1285457 1285579 1289162 1296009 1299471 1299529 1306646 1310276 1312930 1316491 1320231 1320531 1324506 1330596 1331229 1337516 1341700 1342151 1345109 1352149 1352737 1359284 1362543 1363222 1369303 1369931 1376176 1377255 1380473 '
'315 Goodwin Grove',870393,859648,881138,49,1,44,'942359 943086 946903 952833 956511 959876 960631 967019 970355 974149 977370 978065 981497 984811 989017 991980 996037 998664 1005135 1009243 1009762 1012870 1019312 1020051 1026375 1026688 1030606 1033681 1037485 1044545 1047894 1048525 1054732 1055579 1061452 1062450 1066110 1069443 1072412 1079276 1082538 1086225 1089802 1090364 1097009 1096931 1100338 1107084 1110802 1111088 1114448 1118378 1121478 1127819 1131985 1135073 1138620 1141984 1143113 1145646 1150060 1152912 1156570 1163478 1163306 1167552 1170931 1174017 1180474 1184127 1184476 1187785 1191672 1198428 1199009 1201875 1208482 1209212 1212300 1216411 1222620 1226478 1226643 1233286 1236738 1240442 1240309 1247194 1247968 1254595 1254188 1258566 1264763 1265364 1271527 1275035 1275466 1281747 1282412 1286457 1292412 1296097 1296417 1300597 1303968 1309777 1310715 1317330 1317978 1324274 1327839 1328034 1334126 1338295 1338716 1344706 1349016 1352591 1356111 1359090 '
'242 Mario Path',532061,516802,547320,48,12,26,'909534 912763 917021 920472 926582 929981 930817 937002 940174 941333 944860 951014 951449 958083 958796 962510 965664 971879 972397 978787 979469 986328 986307 989914 993453 999662 1000418 1003996 1010225 1014379 1015021 1021424 1021994 1025137 1031202 1032368 1038353 1042306 1045998 1045976 1049593 1055709 1059357 1063361 1066934 1066939 1073758 1076703 1077403 1081156 1087871 1090945 1094501 1098448 1098737 1105442 1105331 1111903 1112365 1119432 1119719 1122686 1126419 1130395 1133381 1137150 1143360 1147471 1147623 1153795 1157190 1158427 1162054 1164814 1171230 1175547 1175605 1182341 1185785 1189155 1189293 1192895 1199361 1199775 1206098 1209913 1213985 1216619 1220507 1220640 1227166 1230658 1231978 1238110 1238161 1245042 1248733 1249335 1252879 1255914 1262898 1266405 1267051 1270547 1273083 1277010 1283128 1283679 1288065 1291081 1294550 1298433 1301350 1308129 1311404 1314576 1318472 1322389 1322921 1326541 '
'240 Chad Springs',506425,492602,520248,76,4,11,'771222 773905 774349 778165 784386 788228 792263 792356 795904 802671 802513 805822 812446 816098 819599 822842 824179 826953 833606 836803 837297 844432 844622 850962 855206 858738 861798 861808 868889 871836 875933 876106 882701 883138 890113 890611 897020 900089 901154 904506 907972 913907 917820 921066 924731 927964 928719 935543 938722 942415 942457 949576 949899 956747 957227 963741 966712 970562 974242 974519 980392 983795 984505 990823 995207 995603 1001933 1005517 1008913 1009437 1016052 1019135 1020000 1022954 1029371 1029993 1036405 1040117 1041168 1047773 1048154 1054589 1054980 1060787 1065024 1065515 1071363 1072408 1078428 1082136 1082894 1089388 1089454 1096254 1096960 1102798 1104250 1109809 1110619 1117159 1117347 1124159 1124627 1127960 1135104 1138263 1141605 1142041 1149096 1149274 1152483 1156065 1162472 1166205 1169359 1173075 1176528 1177245 1180447 1187387 '
